,X,Month,Tide,Symbol,Site,Site2,Group1,Group2,Group3,UB,pair_id,remove,long,lat,Depth,WT,PSU,Turb.,Chl_a,qPCR_Carp,qPCR_Carp_ND,ttl_reads,n_sp,en_sp,Cyprinus.carpio,Mugil.cephalus,Lateolabrax.japonicus,Girella.punctata,dominant_sp,dominant_sp_reads,distance_from,distance_from_upstream,distance_from_upstream_cumulative
11,11,J,Low,RC.L_J,RC,RC,R,R,R,U,18,FALSE,139.7049722,35.23181111,2.3,13,26.1,1.37,0.69,121069,121069,76536,35,1.727296884,0.056104317,0.754076513,0.026732518,0.00018292,Mugil cephalus,0.754076513,RB,772.5406925,1913.597029
12,12,N,Low,RC.L_N,RC,RC,R,R,R,U,3,FALSE,139.7049722,35.23181111,2.1,17.23,20.72,1.74,3.33,102436,102436,76160,41,3.206610556,0.183679097,0.511173845,0.024829307,0,Mugil cephalus,0.511173845,RB,772.5406925,1913.597029
13,13,J,High,RD.H_J,RD,RD,R,R,R,U,19,FALSE,139.7104972,35.22953611,2.9,12.24,31.75,0.91,0.9,4166,4166,61362,44,5.216246145,0.037743229,0.374287018,0.052948079,0.011049184,Mugil cephalus,0.374287018,RC,562.7270856,2476.324114
14,14,N,High,RD.H_N,RD,RD,R,R,R,U,4,FALSE,139.7104972,35.22953611,3.9,17.26,29.42,0.81,1.44,8463,8463,21693,50,6.096479688,0.068731849,0.362559351,0.063246208,0.002166598,Mugil cephalus,0.362559351,RC,562.7270856,2476.324114
15,15,J,Low,RD.L_J,RD,RD,R,R,R,U,19,FALSE,139.7104972,35.22953611,2.4,12.59,26.85,1.45,0.76,52466,52466,89111,42,3.909421129,0.148073751,0.462412048,0.039557406,0.007743152,Mugil cephalus,0.462412048,RC,562.7270856,2476.324114
16,16,N,Low,RD.L_N,RD,RD,R,R,R,U,4,FALSE,139.7104972,35.22953611,3.1,16.76,22.76,1.29,1.52,131739,131739,48086,37,3.443338191,0.189202679,0.491827143,0.032545855,0.000249553,Mugil cephalus,0.491827143,RC,562.7270856,2476.324114
17,17,J,High,RE.H_J,RE,RE,R,R,R,U,20,FALSE,139.7148417,35.22674722,3.3,12.11,31.83,0.91,0.85,4115,4115,67178,62,5.039180087,0.03876269,0.411518652,0.065348775,0.012176605,Mugil cephalus,0.411518652,RD,502.1498997,2978.474014
18,18,N,High,RE.H_N,RE,RE,R,R,R,U,5,FALSE,139.7148417,35.22674722,3.3,17.29,29.97,0.67,1.49,6119,6119,73789,41,6.065865455,0.054832021,0.311862202,0.024095732,0.006613452,Mugil cephalus,0.311862202,RD,502.1498997,2978.474014
19,19,J,Low,RE.L_J,RE,RE,R,R,R,U,20,FALSE,139.7148417,35.22674722,2.7,12.77,28.74,1.35,0.9,38981,38981,95110,47,4.199629143,0.228924403,0.410114604,0.036925665,0.00611923,Mugil cephalus,0.410114604,RD,502.1498997,2978.474014
20,20,N,Low,RE.L_N,RE,RE,R,R,R,U,5,FALSE,139.7148417,35.22674722,2.6,16.91,23.45,1.14,1.65,97749,97749,54108,45,3.785770046,0.19462926,0.460357064,0.022436608,0.000314186,Mugil cephalus,0.460357064,RD,502.1498997,2978.474014
21,21,J,High,S1.H_J,S1,S1,IB,BD,S,U,21,FALSE,139.7148917,35.22085,9.2,13.92,33.99,1.07,0.54,471,471,98990,63,8.100537448,0.00726336,0.06497626,0.130760683,0.005162138,Scomber sp.,0.272300232,S3,619.9164214,3773.645031
22,22,N,High,S1.H_N,S1,S1,IB,BD,S,U,6,FALSE,139.7148917,35.22085,9.1,17.6,32.07,0.57,0.95,403,403,35225,37,11.80295884,0.005251952,0.134591909,0,0.005791341,Mugil cephalus,0.134591909,S3,619.9164214,3773.645031
23,23,J,Low,S1.L_J,S1,S1,IB,BD,S,U,21,FALSE,139.7148917,35.22085,8.6,13.77,33.66,1.11,0.7,2738,2738,57700,60,10.99938616,0.041941075,0.163015598,0.116221837,0.011611785,Scomber sp.,0.169462738,S3,619.9164214,3773.645031
24,24,N,Low,S1.L_N,S1,S1,IB,BD,S,U,6,FALSE,139.7148917,35.22085,12,17.76,32.13,1,1.06,520,520,57832,29,12.07204475,0.01039217,0.11638885,0.016444183,0,Trachurus sp.1,0.117633836,S3,619.9164214,3773.645031
25,25,J,High,S2.H_J,S2,S2,IB,BS,S,U,22,FALSE,139.7143194,35.22511944,2.5,13.84,34,1.04,0.85,511,682,89249,66,8.970688222,0.00172551,0.16578337,0.179811539,0.006173739,Scomber sp.,0.179957198,S3,247.4711298,3401.199739
26,26,N,High,S2.H_N,S2,S2,IB,BS,S,U,7,FALSE,139.7143194,35.22511944,2.1,17.52,32.2,0.51,0.83,132,175,56092,30,10.15671325,0.008913927,0.191827712,0.000338729,0,Mugil cephalus,0.191827712,S3,247.4711298,3401.199739
27,27,J,Low,S2.L_J,S2,S2,IB,BS,S,U,22,FALSE,139.7143194,35.22511944,1.4,13.83,33.79,1.32,0.72,1792,1792,47425,72,7.388462743,0.021085925,0.319177649,0.084364787,0.007443332,Mugil cephalus,0.319177649,S3,247.4711298,3401.199739
28,28,N,Low,S2.L_N,S2,S2,IB,BS,S,U,7,FALSE,139.7143194,35.22511944,1.4,17.02,32.13,0.71,1.55,62,125,27600,27,5.082460005,0,0.082789855,0.01365942,0,Konosirus punctatus,0.350144928,S3,247.4711298,3401.199739
29,29,J,High,S3.H_J,S3,S3,IB,BS,S,U,23,FALSE,139.7166667,35.22624444,2.5,13.41,33.98,1.39,0.85,226,302,108659,65,5.084823212,0.004500318,0.404559217,0.114394574,0.010758428,Mugil cephalus,0.404559217,RE,175.2545955,3153.728609
30,30,N,High,S3.H_N,S3,S3,IB,BS,S,U,8,FALSE,139.7166667,35.22624444,2.8,17.61,32.22,0.39,0.65,121,121,51370,35,7.901004993,0,0.231302317,0,0.018765817,Mugil cephalus,0.231302317,RE,175.2545955,3153.728609
31,31,J,Low,S3.L_J,S3,S3,IB,BS,S,U,23,FALSE,139.7166667,35.22624444,1.8,13.89,33.95,1.72,0.85,2229,2229,33602,55,7.589996686,0.013659901,0.270757693,0.036485923,0.00901732,Mugil cephalus,0.270757693,RE,175.2545955,3153.728609
32,32,N,Low,S3.L_N,S3,S3,IB,BS,S,U,8,TRUE,139.7166667,35.22624444,1.9,17.7,32.23,0.47,1.86,1284,1284,572,10,3.470122818,0,0.062937063,0,0,Lagocephalus sp.,0.501748252,RE,175.2545955,3153.728609
33,33,J,High,S4.H_J,S4,S4,IB,BS,S,U,24,FALSE,139.7203889,35.227825,3.7,14.09,34.05,1.28,0.95,393,393,55267,60,9.50153335,0.008323231,0.104022292,0.20766461,0.005446288,Lateolabrax japonicus,0.20766461,S3,381.5360141,3535.264624
34,34,N,High,S4.H_N,S4,S4,IB,BS,S,U,9,FALSE,139.7203889,35.227825,4.3,17.65,32.27,0.41,0.79,79,106,60412,27,2.845456904,0,0.04388201,0,0.005379726,Konosirus punctatus,0.57458783,S3,381.5360141,3535.264624
35,35,J,Low,S4.L_J,S4,S4,IB,BS,S,U,24,FALSE,139.7203889,35.227825,3.3,14.41,34.05,2.18,1.08,288,384,47303,61,4.871870959,0.001606663,0.422573621,0.06515443,0.01166945,Mugil cephalus,0.422573621,S3,381.5360141,3535.264624
36,36,N,Low,S4.L_N,S4,S4,IB,BS,S,U,9,TRUE,139.7203889,35.227825,3.2,17.72,32.3,0.46,0.72,0,0,0,0,NA,0,0,0,0,Acanthogobius flavimanus,0,S3,381.5360141,3535.264624
37,37,J,High,S5.H_J,S5,S5,IB,BD,S,U,25,FALSE,139.7170694,35.22412222,10,13.87,34,0.95,0.89,156,312,66901,60,8.584494965,0.002496226,0.145707837,0.17234421,0.002092644,Scomber sp.,0.206753262,S3,238.2861198,3392.014729
38,38,N,High,S5.H_N,S5,S5,IB,BD,S,U,10,TRUE,139.7170694,35.22412222,10.1,17.76,32.09,1.27,0.97,968,968,0,0,NA,0,0,0,0,Acanthogobius flavimanus,0,S3,238.2861198,3392.014729
39,39,J,Low,S5.L_J,S5,S5,IB,BD,S,U,25,FALSE,139.7170694,35.22412222,9.2,13.89,33.83,0.87,0.95,1170,1170,47057,58,9.304262594,0.018296959,0.162802559,0.12076843,0.002146333,Trachurus sp.,0.182693329,S3,238.2861198,3392.014729
40,40,N,Low,S5.L_N,S5,S5,IB,BD,S,U,10,FALSE,139.7170694,35.22412222,9.2,17.69,31.95,0.51,1.06,334,334,12986,29,10.63731708,0.067842292,0.229785923,0.02025258,0,Mugil cephalus,0.229785923,S3,238.2861198,3392.014729
41,41,J,High,S6.H_J,S6,S6,IB,BS,S,U,26,FALSE,139.7199861,35.22576944,5.9,13.99,34.11,1.11,0.77,261,348,27890,47,9.609096796,0.006346361,0.205521692,0.169379706,0.022552886,Mugil cephalus,0.205521692,S3,306.7470976,3460.475707
42,42,N,High,S6.H_N,S6,S6,IB,BS,S,U,11,FALSE,139.7199861,35.22576944,5.5,17.77,32.25,0.43,1.64,190,254,54623,33,13.76745655,0.002123648,0.128974974,0.010783003,0,Scomber sp.,0.137268184,S3,306.7470976,3460.475707
43,43,J,Low,S6.L_J,S6,S6,IB,BS,S,U,26,FALSE,139.7199861,35.22576944,4.8,13.94,33.93,2.42,1.01,351,351,38907,64,3.31150408,0.002030483,0.149638882,0.050068111,0.002570232,Trachurus sp.,0.519109672,S3,306.7470976,3460.475707
44,44,N,Low,S6.L_N,S6,S6,IB,BS,S,U,11,FALSE,139.7199861,35.22576944,5.2,17.73,32.11,0.43,1.21,597,597,72267,42,8.638783084,0.043034857,0.24320921,0.015553434,0.00518909,Mugil cephalus,0.24320921,S3,306.7470976,3460.475707
45,45,J,High,S7B.H_J,S7B,S7,IB,BD,S,B,28,FALSE,139.7208444,35.22418889,8.1,13.9,34.01,0.94,0.85,105,209,79951,56,9.221481238,0.007442058,0.135670598,0.22790209,0.019024152,Lateolabrax japonicus,0.22790209,S3,443.4594426,3597.188052
46,46,N,High,S7B.H_N,S7B,S7,IB,BD,S,B,13,TRUE,139.7208444,35.22418889,9.1,18.15,32.69,0.38,1.3,34,135,0,0,NA,0,0,0,0,Acanthogobius flavimanus,0,S3,443.4594426,3597.188052
47,47,J,Low,S7B.L_J,S7B,S7,IB,BD,S,B,28,FALSE,139.7208444,35.22418889,7.3,14.01,33.96,1.81,0.91,243,324,50387,67,11.51054435,0.005239447,0.196439558,0.130628932,0.018258678,Mugil cephalus,0.196439558,S3,443.4594426,3597.188052
48,48,N,Low,S7B.L_N,S7B,S7,IB,BD,S,B,13,FALSE,139.7208444,35.22418889,7.8,17.96,32.52,0.46,0.83,249,249,29824,42,14.19390202,0.028601127,0.091168187,0.039632511,0.018910944,Scomber sp.,0.161447157,S3,443.4594426,3597.188052
49,49,J,High,S7U.H_J,S7U,S7,IB,BD,S,U,27,FALSE,139.7208444,35.22418889,8.1,13.2,33.63,0.94,0.81,764,764,69923,62,7.987223961,0.028817413,0.2927792,0.144759235,0.014387255,Mugil cephalus,0.2927792,S3,443.4594426,3597.188052
50,50,N,High,S7U.H_N,S7U,S7,IB,BD,S,U,12,TRUE,139.7208444,35.22418889,9.1,17.81,32.37,0.53,1.48,97,97,52,2,1.550458716,0,0,0,0,Acentrogobius pflaumii,0.769230769,S3,443.4594426,3597.188052
51,51,J,Low,S7U.L_J,S7U,S7,IB,BD,S,U,27,FALSE,139.7208444,35.22418889,7.3,13.98,33.97,2.23,0.99,438,876,35127,53,11.73724899,0.007800268,0.182139095,0.123039258,0.010390867,Mugil cephalus,0.182139095,S3,443.4594426,3597.188052
52,52,N,Low,S7U.L_N,S7U,S7,IB,BD,S,U,12,FALSE,139.7208444,35.22418889,7.8,17.82,32.27,0.61,1.15,1734,1734,27719,37,8.478811577,0.057361377,0.267506043,0.013420398,0,Mugil cephalus,0.267506043,S3,443.4594426,3597.188052
53,53,J,High,S8B.H_J,S8B,S8,OB,S,S,B,30,FALSE,139.7358417,35.21270278,8.8,15.04,34.34,0.32,0.64,0,0,28983,37,2.759248363,0,0.007487148,0.588931443,0.032363799,Lateolabrax japonicus,0.588931443,S3,2303.219352,5456.947961
54,54,N,High,S8B.H_N,S8B,S8,OB,S,S,B,15,FALSE,139.7358417,35.21270278,8.4,18.58,33.11,0.43,1.35,0,0,40611,32,5.151068104,0,0.01972372,0.0152668,0.391790402,Girella punctata,0.391790402,S3,2303.219352,5456.947961
55,55,J,Low,S8B.L_J,S8B,S8,OB,S,S,B,30,FALSE,139.7358417,35.21270278,7.4,15.95,34.6,0.22,0.56,0,0,47575,43,3.893743119,0,0.035522859,0.493515502,0.054104046,Lateolabrax japonicus,0.493515502,S3,2303.219352,5456.947961
56,56,N,Low,S8B.L_N,S8B,S8,OB,S,S,B,15,FALSE,139.7358417,35.21270278,7.7,18.44,32.69,0.49,1.45,0,0,14716,29,8.770848665,0,0.102269638,0,0.12741234,Engraulis japonicus,0.236885023,S3,2303.219352,5456.947961
57,57,J,High,S8U.H_J,S8U,S8,OB,S,S,U,29,FALSE,139.7358417,35.21270278,8.8,15.35,34.42,0.28,0.58,0,0,51763,33,2.119503719,0,0.008635512,0.680099685,0.053455171,Lateolabrax japonicus,0.680099685,S3,2303.219352,5456.947961
58,58,N,High,S8U.H_N,S8U,S8,OB,S,S,U,14,FALSE,139.7358417,35.21270278,8.4,18.42,32.94,0.42,1.36,0,0,49323,43,3.892135054,0,0.023802283,0.015286986,0.486811427,Girella punctata,0.486811427,S3,2303.219352,5456.947961
59,59,J,Low,S8U.L_J,S8U,S8,OB,S,S,U,29,FALSE,139.7358417,35.21270278,7.4,15.97,34.61,0.18,0.47,0,0,59149,37,2.661530269,0,0.009366177,0.607144669,0.033457878,Lateolabrax japonicus,0.607144669,S3,2303.219352,5456.947961
60,60,N,Low,S8U.L_N,S8U,S8,OB,S,S,U,14,FALSE,139.7358417,35.21270278,7.7,18.43,32.68,0.46,1.29,0,0,37187,34,8.829139712,0,0.117218383,0.002689112,0.207169172,Girella punctata,0.207169172,S3,2303.219352,5456.947961
