"","RA.L_N","RA.H_N","RA.H_J","RA.L_J","RB.L_N","RB.H_N","RB.H_J","RB.L_J","RC.L_N","RC.H_N","RC.H_J","RC.L_J","RD.L_N","RD.H_N","RD.H_J","RD.L_J","RE.L_N","RE.H_N","RE.H_J","RE.L_J","S1.L_N","S1.H_N","S1.H_J","S1.L_J","S2.L_N","S2.H_N","S2.H_J","S2.L_J","S3.L_N","S3.H_N","S3.H_J","S3.L_J","S4.L_N","S4.H_N","S4.H_J","S4.L_J","S5.L_N","S5.H_N","S5.H_J","S5.L_J","S6.L_N","S6.H_N","S6.H_J","S6.L_J","S7U.L_N","S7B.L_N","S7U.H_N","S7B.H_N","S7U.H_J","S7B.H_J","S7U.L_J","S7B.L_J","S8U.L_N","S8B.L_N","S8U.H_N","S8B.H_N","S8U.H_J","S8B.H_J","S8U.L_J","S8B.L_J"
"Inimicus japonicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,77,0,22,53,0,0,0,0,0,0,0,0
"Istigobius campbelli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,685,208,116,0,0,0,33,0,98,140,38,0,0,77,11,0,0,93,0,0,0,73,0,0,459,0,0,0,0,38,0,0,0,0,0,0,0,0,0
"Istigobius hoshinonis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,869,0,0,0,36,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,33,0,0,0,0,121,0,0,0,0,48,0,0,0,0,0,0
"Jaydia lineata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,87,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
"Katsuwonus pelamis",0,0,0,0,14,0,0,0,12,22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Konosirus punctatus",959,52,0,0,951,1095,0,23,1325,2305,0,0,882,673,1455,466,1087,1498,901,531,2656,1156,462,405,9664,7192,514,2388,21,4420,1601,580,0,34712,1556,1886,1369,0,378,471,11674,4276,206,1425,3625,3981,12,0,826,133,679,745,0,64,104,0,0,100,0,145
"Kuhlia marginata",0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lagocephalus sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,87,0,147,22,0,84,154,287,0,127,0,0,0,90,0,0,0,357,17,810,0,0,30,0,171,0,0,53,122,0,42,0,0,0,0,0,0,0,0
"Lateolabrax japonicus",569,27,878,806,1301,400,566,919,1891,2831,422,2046,1565,1372,3249,3525,1214,1778,4390,3512,951,0,12944,6706,377,19,16048,4001,0,0,12430,1226,0,0,11477,3082,263,0,11530,5683,1124,589,4724,1948,372,1182,0,0,10122,18221,4322,6582,100,0,754,620,35204,17069,35912,23479
"Lateolabrax latus",0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,17,0,0,0,0,0,0,0,83,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0
"Lepidotrigla sp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
"Leucopsarion petersii / Priolepis boreus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,113,0,0,0,0,0,349
"Luciogobius pallidus",0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luciogobius sp.1",0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mugil cephalus",42869,4821,18114,26805,40516,36041,68810,33952,38931,41410,15610,57714,23650,7865,22967,41206,24909,23012,27645,39006,6731,4741,6432,9406,2285,10760,14796,15137,36,11882,43959,9098,0,2651,5749,19989,2984,0,9748,7661,17576,7045,5732,5822,7415,2719,0,0,20472,10847,6398,9898,4359,1505,1174,801,447,217,554,1690
"Mugilogobius abei",0,0,49,0,0,34,0,131,167,226,0,126,113,24,0,42,130,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myersina filifer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,110,0,0,0,0,0,0,0,30,0,0,129,0,161,0,0,60,0,0,0,0,0,0,0,0,0,0,27,102,0,0,0,0,0,0,0,0
"Neoclinus bryope",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,38,0,0,121,98,0,77,254,971,0,0,223,108,0,0,0,44,1669,0,0,111,0,0,0,0,0,690,38,67,0,0,0,0,0,0,0,0
"Nuchequula nuchalis",112,0,0,0,45,140,0,0,105,216,0,0,108,34,0,0,60,200,144,0,690,0,319,391,0,0,159,239,0,117,68,0,0,0,0,80,0,0,95,370,0,0,0,0,0,0,0,0,0,0,59,445,0,0,0,0,0,0,0,0
"Omobranchus elegans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,200,0,0,14,0,649,0,62,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,13,0,0,0,0,188,0,0,115,0,0,0,0,0,0,0,0
"Omobranchus punctatus",0,0,0,0,0,0,0,0,0,45,0,0,10,0,0,0,15,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0
"Oncorhynchus sp.1",0,0,0,0,0,0,0,0,20,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Onigocia spinosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0
"Ophisurus macrorhynchos",0,0,0,0,0,0,0,0,11,42,0,0,0,20,0,0,27,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,21,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0
"Oplegnathus fasciatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,69,0,0,83,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,116,0,0,1134,423,1142,795,172,0,0,275
"Oplegnathus punctatus",0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Opsariichthys platypus",116,184,57,58,157,425,83,89,238,667,60,47,110,79,255,127,136,0,31,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,149,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0
"Oryzias sp.",0,0,0,0,0,0,0,0,54,0,0,0,12,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ostorhinchus notatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,68,0,0,0
"Ostracion sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,241,0,0,0,0,0,0,0,144,0,0,623,199,73,0,0,0,0,0
"Pagrus major",0,0,0,0,0,0,14,12,21,26,0,0,13,0,93,0,10,0,60,0,213,92,683,212,0,636,169,74,0,0,914,97,0,14,204,327,126,0,343,189,181,243,187,85,0,432,0,0,501,1714,1879,446,271,219,322,631,2334,1354,1265,958
"Parablennius yatabei",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,199,0,142,0,0,0,155,0,0,223,0,31,0,0,326,35,0,0,24,0,254,886,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0
"Paracentropogon rubripinnis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,187,46,0,0,83,130,0,0,441,70,0,0,63,59,0,11,154,190,0,0,253,81,0,0,166,40,0,0,0,0,0,122,278,113,0,0,28,0,0,0,0,0
"Paralichthys olivaceus",12,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,32,0,0,0,223,0,0,0,466,35,45,0,470,0,0,0,322,171,0,0,108,160,0,0,63,18,352,163,0,0,0,217,49,0,74,0,46,141,0,0,214,93
"Parapercis multifasciata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,38,10,0,93,0
"Paraplagusia japonica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,375,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
"Parapristipoma trilineatum",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,0,3231,1090,1974,3188,0,0,0,239
"Parioglossus dotui",0,0,0,0,0,0,0,0,0,321,0,23,69,62,177,140,82,580,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pholis sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,23,109,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,38,110,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Platycephalus sp. MAGOCHI",0,0,0,0,10,0,11,0,34,21,0,0,0,54,124,87,31,80,0,46,133,0,112,0,58,337,0,76,0,31,406,62,0,543,159,216,201,0,0,0,0,0,0,27,104,359,0,0,0,439,69,44,0,0,0,0,0,0,0,0
"Plectorhinchus cinctus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,262,52,0,116,48,733,0,0,98,0,0
"Pleuronichthys cornutus",0,0,0,0,0,0,15,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pleuronichthys japonicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,198,0
"Plotosus japonicus",0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,14,0,38,0,0,985,25,142,136,0,1031,467,37,0,754,194,17,0,74,147,122,354,0,236,126,106,509,45,48,103,630,0,0,179,739,116,249,791,80,454,304,576,395,1247,419
"Pomacentrus coelestis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0
"Pseudoblennius percoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,0,453,0,0,0,325,123,0,1253,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,936,0,0,897,0,24,0,0,0,0,0,0,0,0,0
